
 num     #instances         #bytes  class name
 157:           120           4800  java.beans.GenericBeanInfo
 158:           300           4800  org.apache.commons.logging.LogFactory$Log4jLog
 159:           299           4784  java.util.concurrent.locks.ReentrantLock
 160:           199           4776  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome
 161:           199           4776  org.springframework.boot.autoconfigure.condition.ConditionOutcome
 162:           190           4560  sun.reflect.generics.tree.Wildcard
 163:           189           4536  javax.management.ImmutableDescriptor
 164:           188           4512  org.apache.logging.log4j.message.DefaultFlowMessageFactory
 165:           183           4392  org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor
 166:           180           4320  java.lang.invoke.LambdaForm$NamedFunction
 167:           107           4280  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 168:           176           4224  org.springframework.boot.web.server.MimeMappings$Mapping
 169:            75           4200  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
 170:           168           4152  [Ljavax.management.MBeanParameterInfo;
 171:            37           4144  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 172:           172           4128  com.fasterxml.jackson.databind.type.ClassKey
 173:           128           4096  com.sun.jmx.mbeanserver.ConvertingMethod
 174:           256           4096  java.lang.Byte
 175:           256           4096  java.lang.Short
 176:           127           4064  com.sun.org.apache.xerces.internal.xni.QName
 177:           127           4064  java.util.logging.LogManager$LogNode
 178:           127           4064  org.springframework.boot.loader.data.RandomAccessDataFile
 179:           254           4064  org.springframework.core.convert.support.GenericConversionService$ConvertersForPair
 180:           166           3984  org.springframework.core.SerializableTypeWrapper$$Lambda$14/1496724653
 181:           120           3840  java.security.CodeSource
 182:            10           3840  org.apache.tomcat.util.threads.TaskThread
 183:            53           3816  sun.reflect.DelegatingClassLoader
 184:           119           3808  java.util.Vector
 185:           118           3776  java.lang.invoke.BoundMethodHandle$Species_L
 186:            94           3760  java.security.ProtectionDomain
 187:           235           3760  sun.reflect.DelegatingMethodAccessorImpl
 188:           155           3720  sun.reflect.generics.tree.FormalTypeParameter
 189:            92           3680  java.math.BigInteger
 190:           230           3680  java.util.Collections$UnmodifiableSet
 191:            76           3648  java.util.WeakHashMap
 192:            38           3648  org.springframework.boot.loader.jar.JarFile
 193:           224           3584  java.util.HashMap$KeySet
 194:            64           3584  org.apache.tomcat.util.modeler.ManagedBean
